,id,app-id,app,module,function,hexagon-blocks,hexagon-ins,hexagon-ins-per-block,hexagon-max-ins-in-block,hexagon-copy-ins-percent,hexagon-call-ins-percent,hexagon-remat-ins-percent,hexagon-weighted-ins-per-bundle,hexagon-temps,hexagon-spilled-temps-percent,hexagon-temp-width-cv,hexagon-regclasses,arm-blocks,arm-ins,arm-ins-per-block,arm-max-ins-in-block,arm-copy-ins-percent,arm-call-ins-percent,arm-remat-ins-percent,arm-weighted-ins-per-bundle,arm-temps,arm-spilled-temps-percent,arm-temp-width-cv,arm-regclasses,mips-blocks,mips-ins,mips-ins-per-block,mips-max-ins-in-block,mips-copy-ins-percent,mips-call-ins-percent,mips-remat-ins-percent,mips-weighted-ins-per-bundle,mips-temps,mips-spilled-temps-percent,mips-temp-width-cv,mips-regclasses,ins-avg,ins-std,ins-per-block-mean,ins-per-block-std,spilled-temps-percent-mean,spilled-temps-percent-std,call-ins-percent-mean,call-ins-percent-std,min-ins,max-ins,max-ins-in-block
7501,mesa.shapes.doughnut,14,mesa,shapes,doughnut,7,693,99.0,608,0.417027417,0.1673881674,0.038277512,2.315939,3453,0.0044550045,0.914296,3,7,514,73.4285714286,467,0.38521400780000004,0.1050583658,0.0,1.0,619,0.05369127519999999,0.686995,5,7,498,71.1428571429,455,0.3473895582,0.10843373490000001,0.0022075055,1.0,567,0.0376984127,0.759125,2,568.3333333333001,88.39431857059999,80.2788731261,12.6277597958,0.0317433407,0.0205077389,0.126600863,0.028620160699999998,498,693,608
4581,mesa.depth.gl_depth_test_span_generic,14,mesa,depth,gl_depth_test_span_generic,580,2308,3.9793103448,10,0.0155979203,0.0008665511,0.0127326151,1.699675,2263,0.0,0.0,2,103,524,5.0873786408,13,0.1812977099,0.0038167939,0.0636604775,0.999163,387,0.0,0.0,3,102,403,3.9509803922000004,16,0.0297766749,0.0049627792,0.0031446541,0.999162,386,0.0,0.0,1,1078.3333333333,870.9077001739,4.314106321600001,0.5291522479999999,0.0,0.0,0.00321389,0.0017255047,403,2308,16
10198,mesa.points.antialiased_rgba_points,14,mesa,points,antialiased_rgba_points,37,561,15.1621621622,75,0.2941176471,0.10873440289999999,0.014059753999999999,1.873427,2006,0.0142226582,0.0,2,39,385,9.871794871799999,37,0.14285714289999998,0.0077922078,0.0,1.0,321,0.1288343558,0.0,4,39,366,9.3846153846,44,0.0355191257,0.0081967213,0.0,1.0,354,0.055096418700000004,0.0,2,437.3333333333,87.7888881857,11.2197890445,2.6163030891,0.0650056017,0.047426889800000004,0.0405140131,0.0474895495,366,561,75
4514,mesa.xform.gl_xform_normals_3fv,14,mesa,xform,gl_xform_normals_3fv,15,1154,76.9333333333,401,0.43067590990000004,0.14818024259999998,0.0,2.501605,5234,0.0088612368,0.410485,3,10,133,13.3,34,0.1353383459,0.007518797,0.0,1.0,118,0.0204081633,0.422159,4,10,107,10.7,25,0.0841121495,0.0093457944,0.0,1.0,102,0.0495049505,0.46685,3,464.6666666667,487.54783241120003,22.5368523941,30.6282650061,0.0261163724,0.0171005718,0.053014621500000005,0.06588203620000001,107,1154,401
7198,ghostscript.idict.dict_undef,5,ghostscript,idict,dict_undef,19,128,6.7368421053,14,0.1796875,0.0390625,0.0789473684,1.806542,242,0.0,0.0,2,20,130,6.5,12,0.21538461539999998,0.0384615385,0.0,1.0,114,0.0,0.0,3,19,141,7.421052631599999,17,0.2340425532,0.0354609929,0.0,1.0,144,0.0,0.0,1,133.0,5.7154760665,6.8764488973,0.3905233209,0.0,0.0,0.0376604806,0.0015753406,128,141,17
1698,mesa.triangle.general_textured_triangle,14,mesa,triangle,general_textured_triangle,48,3134,65.2916666667,796,0.3793873644,0.1359285258,0.0189205955,2.284216,13280,0.0170187355,0.267261,3,41,1010,24.6341463415,227,0.13762376240000002,0.004950495,0.0018867925,1.0,920,0.1116225547,0.14243,5,40,890,22.25,177,0.0325842697,0.0056179775,0.0,1.0,842,0.0856481481,0.156492,3,1678.0,1030.7123750106,33.0591327128,19.752083384400002,0.070676983,0.0399089919,0.0470712481,0.0615869116,890,3134,796
7926,ghostscript.iname.name_init,5,ghostscript,iname,name_init,19,202,10.6315789474,26,0.1782178218,0.0495049505,0.1043956044,1.978441,425,0.0,0.0,2,22,213,9.681818181799999,29,0.24882629109999999,0.0469483568,0.035502958599999995,1.0,187,0.0,0.0,3,21,229,10.9047619048,32,0.2401746725,0.04366812230000001,0.0471204188,1.0,224,0.0,0.0,1,214.6666666667,11.0855260989,10.393789441200001,0.524114681,0.0,0.0,0.046704416299999996,0.0023889717,202,229,32
6225,ghostscript.isave.alloc_save_space,5,ghostscript,isave,alloc_save_space,9,137,15.222222222200001,29,0.26277372260000004,0.08759124089999999,0.1130434783,2.129138,413,0.0,0.0,2,10,148,14.8,29,0.2972972973,0.08108108110000001,0.0583333333,1.0,139,0.0,0.0,3,9,165,18.3333333333,38,0.33939393939999996,0.0727272727,0.0390625,1.0,166,0.0,0.0,1,150.0,11.5181016954,16.048704789600002,1.5755679186000002,0.0,0.0,0.0804493939,0.0060837292000000005,137,165,38
2790,mesa.osmesa.flat_color_z_line,14,mesa,osmesa,flat_color_z_line,48,455,9.4791666667,76,0.07032967030000001,0.021978022000000003,0.0,2.129385,687,0.0,0.0,2,24,232,9.6666666667,50,0.20689655170000001,0.0086206897,0.0185185185,1.0,206,0.04395604400000001,0.0,4,22,209,9.5,50,0.019138756,0.0,0.0051546392,1.0,204,0.0,0.107833,3,298.6666666667,110.94242751190001,9.5482785588,0.0839100415,0.0144424268,0.0207210779,0.0101591676,0.0090416817,209,455,76
7691,mesa.triangle.simple_z_textured_triangle,14,mesa,triangle,simple_z_textured_triangle,43,1227,28.5348837209,237,0.3056234719,0.10676446619999999,0.0291568164,2.322439,4320,0.0198584798,0.0,2,42,616,14.666666666700001,95,0.1623376623,0.0016233766,0.0016339869000000001,1.0,529,0.11040339699999999,0.0,4,39,554,14.2051282051,74,0.023465704,0.0018050542000000002,0.0017241379,1.0,511,0.0618762475,0.106479,3,799.0,303.6983152187,18.1616977281,6.6489962079,0.0634037802,0.036996635099999994,0.0355735733,0.0495212187,554,1227,237
